nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
Cocoon_2,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,250.0,0.0,0,4,2.0,0,2,3000000.0,3000000.0,0,10,1.0,3000000.0,1,seed,2019-06-04,3000000.0,6.104109589041096
Memfault,2018-01-01,0,0,active,Software y Servicios B2B,7,58.0,10000.0,0.0,0,28,3.0,0,3,35150000.0,24000000.0,0,9,4.0,35150000.0,4,series_b,2023-01-24,24000000.0,2.4602739726027396
Conta Simples,2018-01-01,0,0,active,Finanzas,7,338.0,50000.0,5600.0,420,33,4.0,0,4,67781476.0,200000000.0,0,26,5.0,67781476.0,7,series_b,2024-01-09,200000000.0,1.5013698630136987
Ysplit,2018-01-01,0,0,active,Finanzas,7,2.0,438.0,0.0,0,0,3.0,0,3,217024.0,150000.0,0,7,2.0,217024.0,2,seed,2019-03-18,150000.0,6.317808219178082
Synthetic Minds,2018-01-01,0,1,active,Software y Servicios B2B,7,2.0,396.0,0.0,294,3,1.0,0,1,5500000.0,5500000.0,0,3,2.0,5500000.0,1,seed,2018-10-22,5500000.0,6.720547945205479
NUMI,2018-01-01,0,0,active,Software y Servicios B2B,7,35.0,2000.0,10.0,87,1,2.0,0,2,150000.0,150000.0,0,1,1.0,150000.0,1,seed,2020-03-17,150000.0,5.317808219178082
Soteris,2018-01-01,1,0,active,Finanzas,7,7.0,223.0,0.0,0,0,1.0,0,1,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904
Jido Maps,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,161.0,0.0,0,5,2.0,0,2,2220000.0,2100000.0,0,7,2.0,2220000.0,3,seed,2018-07-20,2100000.0,6.978082191780822
Cuanto,2018-01-01,0,0,active,Finanzas,7,10.0,818.0,0.0,0,0,3.0,0,3,1450000.0,1450000.0,0,3,1.0,1450000.0,2,pre_seed,2019-03-18,1450000.0,6.317808219178082
Tint.ai,2018-01-01,1,0,active,Finanzas,7,51.0,4000.0,0.0,191,8,3.0,0,3,28750000.0,25000000.0,0,8,1.0,28750000.0,3,series_a,2022-02-01,25000000.0,3.4383561643835616
Atmos,2018-01-01,0,0,active,Bienes Raíces y Construcción,7,44.0,4000.0,1300.0,0,19,4.0,0,4,18655000.0,12500000.0,0,37,6.0,18655000.0,8,series_a,2022-11-15,12500000.0,2.652054794520548
Cherry,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,582.0,2.0,372,1,2.0,2,0,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082
Enerjazz,2018-01-01,0,1,active,No Especificado,7,10.0,1000.0,0.0,0,0,1.0,0,1,125000.0,125000.0,0,1,1.0,125000.0,1,pre_seed,2021-08-31,125000.0,3.8602739726027395
Schoolable,2018-01-01,0,0,active,Educación,7,28.0,850.0,655.0,236,1,2.0,1,1,290000.0,100000.0,0,8,2.0,290000.0,4,seed,2021-01-21,100000.0,4.468493150684932
Zeta Surgical,2018-01-01,1,3,active,Software y Servicios B2B,7,9.0,3000.0,0.0,0,33,3.0,0,3,13925500.0,5000000.0,0,11,1.0,13925500.0,3,series_a,2025-01-21,5000000.0,0.4657534246575342
Tappity,2018-01-01,0,0,active,Educación,7,11.0,392.0,4800.0,177,2,4.0,0,4,125000.0,125000.0,0,2,1.0,125000.0,1,seed,2020-08-25,125000.0,4.876712328767123
Arpio,2018-01-01,0,0,active,Software y Servicios B2B,7,27.0,1000.0,0.0,34,1,2.0,0,2,10325000.0,8200000.0,0,9,5.0,10375000.0,5,seed,2023-08-14,8200000.0,1.906849315068493
Encarte,2018-01-01,0,0,active,Software y Servicios B2B,7,8.0,44.0,0.0,0,0,2.0,0,2,150000.0,150000.0,0,3,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082
Bensen AI,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,151.0,86.0,0,0,2.0,0,2,150000.0,150000.0,0,2,1.0,150000.0,1,seed,2019-03-18,150000.0,6.317808219178082
Tajir,2018-01-01,0,0,active,Consumo,7,246.0,18000.0,0.0,0,8,2.0,0,2,18950000.0,17000000.0,0,22,4.0,18950000.0,3,series_a,2021-06-02,17000000.0,4.1068493150684935
Maitian.ai,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,51.0,0.0,0,0,1.0,0,1,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082
Vectordash,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,237.0,504.0,0,0,3.0,0,3,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082
