founder_name;company_name;last_funding_type;gender
Ghita Houir Alami;ZeroEntropy;pre_seed;female
Nicholas Pipitone;ZeroEntropy;pre_seed;male
Emily Choi-Greene;Clearly AI;pre_seed;female
Joe Choi-Greene;Clearly AI;pre_seed;male
Armel Talla;Miru;pre_seed;male
Benjamin Smidt;Miru;pre_seed;male
Vedant Nair;Miru;pre_seed;male
Charlene Wang;Ember Copilot;pre_seed;female
Warren Wang;Ember Copilot;pre_seed;male
Daniel Lantz;Thyme;pre_seed;male
Fernando Martin;Thyme;pre_seed;male
Eric Button;Enhanced Radar;pre_seed;male
Kristian Gaylord;Enhanced Radar;pre_seed;male
Alireza Mohammadshahi;Leeroo;pre_seed;male
Arshad Shaikh;Leeroo;pre_seed;male
Majid Yazdani;Leeroo;pre_seed;male
Brian Bakerman;ArchiLabs;pre_seed;male
William Meng;ArchiLabs;pre_seed;male
Advait Paliwal;Friday;pre_seed;male
Allen Naliath;Friday;pre_seed;male
Aumesh Misra;Tivara;pre_seed;male
Tej Seelamsetty;Tivara;pre_seed;male
Ajay Vasisht;Kairo Health;pre_seed;male
Jake Goldman;Kairo Health;pre_seed;male
Chao-Ping Wu;Flair Labs;pre_seed;female
Samir Sen;Flair Labs;pre_seed;male
Josh Earle;Outlit;pre_seed;male
Leo Paz;Outlit;pre_seed;male
Blake (Tianyi) Shao;Cekura;pre_seed;male
Jialiang Zhou;Cekura;pre_seed;male
Daniel Portela;RetroFix AI;pre_seed;male
Isaac Toscano;RetroFix AI;pre_seed;male
Anish Bhardwaj;Vendra;pre_seed;male
Shan Mohta;Vendra;pre_seed;male
Qi Yang;Pearson Labs;pre_seed;male
Stephanie Young;Pearson Labs;pre_seed;female
Simon Farshid;assistant-ui;pre_seed;male
Fedor Paretsky;Sepal AI;pre_seed;male
Kat Hu;Sepal AI;pre_seed;female
Navvye Anand;Bindwell;pre_seed;male
Tyler Rose;Bindwell;pre_seed;male
Codrut Lemeni;Educato AI;pre_seed;male
Felix Gabler;Educato AI;pre_seed;male
Pierre-Louis Monnot;Educato AI;pre_seed;male
Dominik Moehrle;Dodo;pre_seed;male
Julius Hillebrand;Dodo;pre_seed;male
Tim Reinhart;Dodo;pre_seed;male
Christian Kohrs;Omnidock;seed;male
Sebastian Rödling;Omnidock;seed;male
