company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age
Boom Supersonic,https://www.crunchbase.com/organization/boom-technology,347496024.0,218,100000000.0,1,2014-09-01,6,14,52,active,7.0,c_00101_00250,407496024.0,16,series_a,2024-12-16,100000000.0,3.0,https://www.linkedin.com/company/boom-technology-inc.,,,https://www.facebook.com/boomsupersonic,,0,3,1,1,1,0,Industria,10
Mashgin,https://www.crunchbase.com/organization/mashgin,73620000.0,54,62500000.0,0,2014-09-01,0,0,17,active,4.0,c_00051_00100,73695000.0,5,series_b,2022-05-09,62500000.0,2.0,https://www.linkedin.com/company/mashgin,,,https://www.facebook.com/mashgin,,0,2,1,1,1,548,Software y Servicios B2B,10
Bodyport,https://www.crunchbase.com/organization/bodyport,15820000.0,18,11200000.0,0,2014-09-01,0,0,9,active,1.0,c_00011_00050,15820000.0,4,series_a,2020-08-11,11200000.0,2.0,https://www.linkedin.com/company/bodyport-inc.,,,https://www.facebook.com/bodyportinc,,1,1,1,1,1,238,Salud,10
Gemnote,https://www.crunchbase.com/organization/gemnote,120000.0,1,120000.0,0,2014-09-01,0,0,1,active,1.0,c_00011_00050,120000.0,1,seed,2015-08-18,120000.0,2.0,https://www.linkedin.com/company/gemnote,,,https://www.facebook.com/gemnotegifts,,2,0,1,1,0,0,Software y Servicios B2B,10
Docbot,https://www.crunchbase.com/organization/docbot,4000000.0,11,4000000.0,0,2014-08-01,0,9,13,active,3.0,c_00001_00010,4225000.0,6,series_a,2021-05-24,4000000.0,4.0,https://www.linkedin.com/company/docbot-ai,,,https://www.facebook.com/DocbotAI,,0,4,1,1,1,45,Software y Servicios B2B,10
UpKeep,https://www.crunchbase.com/organization/upkeep-maintenance-management,48820000.0,50,36000000.0,0,2014-06-22,7,0,16,active,3.0,c_00101_00250,48820000.0,4,series_b,2020-05-12,36000000.0,1.0,https://www.linkedin.com/company/upkeep-maintenance-management/,,,https://www.facebook.com/onupkeep,,0,1,1,1,1,0,Finanzas,11
Termii,https://www.crunchbase.com/organization/termii-networks,5237300.0,30,3650000.0,0,2014-04-18,0,0,36,active,6.0,c_00011_00050,5237300.0,5,seed,2023-06-09,3650000.0,3.0,https://www.linkedin.com/company/termii-networks/,,,http://www.facebook.com/termiinetworks,,1,2,1,1,1,0,Software y Servicios B2B,11
Prolific,https://www.crunchbase.com/organization/prolific-academic,33535001.0,27,25000000.0,0,2014-04-10,0,0,6,active,4.0,c_00101_00250,33535001.0,2,series_a,2023-07-11,25000000.0,3.0,https://www.linkedin.com/company/prolific-academic,,,https://www.facebook.com/prolificac,,1,2,1,1,1,0,Software y Servicios B2B,11
Castle,https://www.crunchbase.com/organization/castle,11820000.0,177,9200000.0,0,2014-04-01,0,0,13,active,1.0,c_00011_00050,12472000.0,6,series_a,2019-02-08,9200000.0,3.0,https://www.linkedin.com/company/castle-for-landlords/,,,,0,0,3,1,0,0,0,Bienes Raíces y Construcción,11
Magic Instruments,https://www.crunchbase.com/organization/magic-instruments,1970000.0,3,1775000.0,0,2014-04-01,0,0,5,active,1.0,c_00011_00050,1970000.0,3,seed,2016-03-22,1775000.0,3.0,https://www.linkedin.com/company/magic-instruments,,,http://facebook.com/magicinstruments,,0,3,1,1,0,0,Educación,11
Impraise,https://www.crunchbase.com/organization/impraise,12297013.0,13,10600000.0,0,2014-03-08,0,0,7,active,2.0,c_00051_00100,12297013.0,3,series_a,2018-07-25,10600000.0,4.0,http://www.linkedin.com/company/3071405,,,http://www.facebook.com/impraiseapp,,0,4,1,1,1,0,Software y Servicios B2B,11
