company_name;num_female_founders;num_male_founders
GTRACK Technologies;0;2
Gaiascope;2;0
Gaiia;0;4
Gainful;0;2
Gait;0;2
Galaxy;0;1
Gale;0;3
Galini;0;2
Gallery;0;2
Gamebytes;0;5
Gameday;0;2
Gamerpay;0;5
Gander;0;2
Garage;0;2
Garage Mobility;0;2
Garten;0;1
Gas Pos;0;1
Gather;0;7
Gauge;0;2
Gauss;0;2
Gavel;0;2
Gemnote;2;0
Gen1E Lifesciences;1;1
Genei;0;3
General Agency;0;2
General Proximity;0;1
General Trajectory;0;1
Genie;0;2
Genomelink;0;3
Genuity;0;2
GeoPredict;0;3
Gerald;1;1
Gerostate Alpha;0;3
GetAccept;0;4
Getcho;0;4
Giga ML;1;1
Gigs;0;2
Gigs Live;0;2
GitPrime;0;2
GitStart;0;1
GiveAway;0;3
Glade;0;2
Glass Health;0;2
Glasskube;0;2
Glaze;3;0
Gleam Care;0;1
Glide;1;1
Glide Apps;0;3
Glimmer;0;2
Glimpse;1;4
Glimpsek12;1;1
Global Belly;2;0
Globe;0;2
GlobeDX;0;1
Glocally;0;3
Gloo;0;2
Glow Energy;0;2
Glowing;0;2
Gluetrail;1;1
Gmelius;0;1
GoBuild (fka Brick);0;2
GoJom;0;4
GoLinks;0;1
GoLorry;0;3
Gobillion;0;1
Gold Fig Labs;0;2
GoldenBasis;0;2
GoodCourse;0;2
GoodFin;1;1
GoodHealth;1;1
Goodcover;0;2
Goodkind;0;3
Goodly;0;2
Goosebump;0;2
Gordian Software;0;2
Gotrade;0;4
GovDash;0;3
GovEagle;0;2
GovPredict;0;4
GovernGPT;0;2
Govly;0;3
Grabb-It;0;2
GradJoy;0;2
GradeWiz;0;2
Gradia Health;0;2
GradientJ;0;2
Grai.io;0;2
Granza Bio;0;2
GreaseBoss;0;2
Great Question;0;2
GreenTiger;0;2
Greenboard;0;2
Greenlite;0;2
Greo;1;2
Greptile;1;3
Grey;0;2
Greywing;0;2
Gridware;0;3
Grin Scooters;1;5
GroMo;0;2
GrowthBook;0;2
Guac;0;2
Guardian AI;0;2
Guardian Bio;1;1
Guardian RF;0;3
Guggy;1;1
Guide Labs;0;2
Gullak.Money;1;2
Gumloop;0;2
GuruHotel;0;3
Guse;0;2
Gustav;0;5
Gym Class;0;3
H3X Technologies;0;3
HECCO Technologies Inc (Prescribe);0;3
HENRY;1;3
HOKALI;0;2
HUBUC;0;2
HUD;1;2
HYBRD;1;3
Hadrius;0;3
Haiku;0;1
Halolife;0;2
Hamming AI;0;2
Hammr;0;2
Handl;0;3
Hannah Life Technologies;0;1
Hapi App;0;3
Haplotype Labs;0;1
Happenstance;0;1
Happl;0;2
HappyRobot;0;3
Harbera;2;0
Harmoney;1;2
Harmonic Discovery;0;3
Harper;0;2
Hatch;0;2
Hatchet;0;2
Hatchways;0;1
HauteDay;0;2
Haven_1;0;3
Haven_2;0;3
Haystack;0;2
Haystack Software;0;2
Haywheel;0;2
Hazel;0;2
